nonstereo_aromatic_smiles,target_pair,label,target1,target2
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4C)CC3)ccc2n1C,P27338_P22303,0,1,1
C#CCN(CCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,P27338_P22303,0,1,1
CC(C)(C)c1cc(C=CC(=O)NCCC2CCN(Cc3ccc(F)c(F)c3)CC2)cc(C(C)(C)C)c1O,P27338_P22303,0,1,1
CC(C)(C)c1cc(C=CC(=O)NCCC2CCN(Cc3cccc(Cl)c3)CC2)cc(C(C)(C)C)c1O,P27338_P22303,0,1,1
CC(C)(C)c1cc(C=CC(=O)NCCC2CCN(Cc3cccc(F)c3)CC2)cc(C(C)(C)C)c1O,P27338_P22303,0,1,1
CC(C)(C)c1cc(C=CC(=O)NCCC2CCN(Cc3ccccc3)CC2)cc(C(C)(C)C)c1O,P27338_P22303,0,1,1
CC(C)(C)c1cc(C=CC(=O)NCCC2CCN(Cc3ccccc3Cl)CC2)cc(C(C)(C)C)c1O,P27338_P22303,0,1,1
CC(C)(C)c1cc(C=CC(=O)NCCC2CCN(Cc3ccccc3F)CC2)cc(C(C)(C)C)c1O,P27338_P22303,0,1,1
CCN(CC)CCCCCCOc1ccc(C=C2COc3ccccc3C2=O)cc1,P27338_P22303,0,1,1
CCN(CC)CCOC(=O)C=Cc1ccc2oc(C(=O)Nc3ccc(C)c(C)c3)cc(=O)c2c1,P27338_P22303,0,1,1
CCN(CC)CCOC(=O)C=Cc1ccc2occ(C(=O)Nc3cccc(Cl)c3)c(=O)c2c1,P27338_P22303,0,1,1
CCN(CC)CCOc1ccc(C=C2COc3ccccc3C2=O)cc1,P27338_P22303,0,1,1
CCN(CCCCCCOc1ccc2c(C)c(C)c(=O)oc2c1)Cc1ccccc1,P27338_P22303,0,1,1
CCN(CCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,P27338_P22303,0,1,1
CCN(CCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,P27338_P22303,0,1,1
CCN(CCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,P27338_P22303,0,1,1
CCOC(=O)c1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,P27338_P22303,0,1,1
CN(C)CCOC(=O)C=Cc1ccc2oc(C(=O)Nc3ccccc3)cc(=O)c2c1,P27338_P22303,0,1,1
CN(C)CCOC(=O)C=Cc1ccc2occ(C(=O)Nc3ccc(Cl)cc3)c(=O)c2c1,P27338_P22303,0,1,1
CN(C)CCOC(=O)C=Cc1ccc2occ(C(=O)Nc3ccccc3)c(=O)c2c1,P27338_P22303,0,1,1
CN(C)CCOc1ccc(C=C2COc3ccccc3C2=O)cc1,P27338_P22303,0,1,1
CN(C)CCOc1cccc(C=C2COc3ccccc3C2=O)c1,P27338_P22303,0,1,1
CN(CCCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,P27338_P22303,0,1,1
CN(Cc1ccc(C#N)cc1)Cc1ccc(COc2ccc3ccc(=O)oc3c2)cc1,P27338_P22303,0,1,1
CN(Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1)Cc1cccc(Cl)c1,P27338_P22303,0,1,1
CN(Cc1ccccc1)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1,P27338_P22303,0,1,1
CN(Cc1ccccc1)Cc1ccc(COc2ccc3ccc(=O)[nH]c3c2)cc1,P27338_P22303,0,1,1
CN(Cc1ccccc1)Cc1ccc(COc2ccc3ccc(=O)oc3c2)cc1,P27338_P22303,0,1,1
COc1cc(C=CC(=O)Nc2cccc(CN(C)Cc3ccccc3)c2)ccc1O,P27338_P22303,0,1,1
COc1cc2oc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)cc(=O)c2cc1OC,P27338_P22303,0,1,1
COc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,P27338_P22303,0,1,1
COc1ccc(CN2CCC(CCNC(=O)C=Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)CC2)cc1,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCC3CCN(CCCO)CC3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCC3CCN(CCCO[N+](=O)[O-])CC3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(CO)c4)CC3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(CO[N+](=O)[O-])c4)CC3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(OCCCO)c4)CC3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(OCCCO[N+](=O)[O-])c4)CC3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCCCCCCN(C)Cc3ccccc3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCCCCCNCc3ccccc3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCCCCN(C)Cc3ccccc3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCCCN(C)Cc3ccccc3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCc3ccc(CN(C)Cc4ccc(C#N)cc4)cc3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCc3ccc(CN(C)Cc4ccccc4)cc3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,P27338_P22303,0,1,1
Cc1c(Cl)c(=O)oc2cc(OCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,P27338_P22303,0,1,1
Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccc(Br)cc4)cc3)ccc12,P27338_P22303,0,1,1
Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccc([N+](=O)[O-])cc4)cc3)ccc12,P27338_P22303,0,1,1
Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4cccc(Br)c4)cc3)ccc12,P27338_P22303,0,1,1
Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4cccc(F)c4)cc3)ccc12,P27338_P22303,0,1,1
Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4cccc([N+](=O)[O-])c4)cc3)ccc12,P27338_P22303,0,1,1
Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccccc4Br)cc3)ccc12,P27338_P22303,0,1,1
Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccccc4F)cc3)ccc12,P27338_P22303,0,1,1
Cc1cc(=O)oc2cc(OCc3ccc(CN(C)Cc4ccc(C#N)cc4)cc3)ccc12,P27338_P22303,0,1,1
Cc1ccc(CN2CCC(CCNC(=O)C=Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)CC2)cc1,P27338_P22303,0,1,1
Cc1ccc(C[n+]2ccc(COc3ccc4c(C)cc(=O)oc4c3)cc2)cc1,P27338_P22303,0,1,1
Cc1ccc(NC(=O)c2cc(=O)c3cc(C=CC(=O)OCCN(C)C)ccc3o2)cc1,P27338_P22303,0,1,1
Cc1ccc(NC(=O)c2coc3ccc(C=CC(=O)OCCN(C)C)cc3c2=O)cc1,P27338_P22303,0,1,1
Cc1cccc(C[n+]2ccc(COc3ccc4c(C)cc(=O)oc4c3)cc2)c1,P27338_P22303,0,1,1
Cc1ccccc1CN1CCC(CCNC(=O)C=Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)CC1,P27338_P22303,0,1,1
Cc1ccccc1C[n+]1ccc(COc2ccc3c(C)cc(=O)oc3c2)cc1,P27338_P22303,0,1,1
Clc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,P27338_P22303,0,1,1
