nonstereo_aromatic_smiles	target_pair	label
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2)n(C)c1=O	P27338_P29274	dual_target
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2OC)n(C)c1=O	P27338_P29274	dual_target
CC(=O)c1ccc(C=Cc2cc3c(c(=O)n(C)c(=O)n3C)n2C)cc1	P27338_P29274	dual_target
CC1Oc2ccc(Nc3ncnc4c3oc3ccccc34)cc2NC1=O	P27338_P29274	dual_target
CCCOc1ccc(C=Cc2cc3c(c(=O)n(C)c(=O)n3C)n2C)cc1	P27338_P29274	dual_target
CCn1c(=O)c2c(nc(C=Cc3ccc(OC)c(OC)c3)n2C)n(CC)c1=O	P27338_P29274	dual_target
CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OC)cc2)n(CC)c1=O	P27338_P29274	dual_target
COc1ccc(C=Cc2cc3c(c(=O)n(C)c(=O)n3C)n2C)cc1	P27338_P29274	dual_target
COc1ccc(CN2CCCn3c2nc2c3c(=O)n(C)c(=O)n2C)cc1Cl	P27338_P29274	dual_target
COc1ccc(Cl)c(CN2CCCn3c2nc2c3c(=O)n(C)c(=O)n2C)c1F	P27338_P29274	dual_target
COc1cccc(C=CC(=O)Nc2nc3ccccc3c(=O)s2)c1	P27338_P29274	dual_target
COc1cccc(C=CCC(=O)Nc2nc3ccccc3c(=O)s2)c1	P27338_P29274	dual_target
COc1cccc(C=Cc2cc3c(c(=O)n(C)c(=O)n3C)n2C)c1	P27338_P29274	dual_target
COc1cccc(CCC(=O)Nc2nc3ccccc3c(=O)s2)c1	P27338_P29274	dual_target
COc1cccc(CCCC(=O)Nc2nc3ccccc3c(=O)s2)c1	P27338_P29274	dual_target
COc1cccc(COC(=O)c2nn(-c3ccccc3)nc2N)c1	P27338_P29274	dual_target
COc1cccc2nc(NC(=O)c3ccccc3)[nH]c12	P27338_P29274	dual_target
COc1ccccc1CN1CCCCn2c1nc1c2c(=O)n(C)c(=O)n1C	P27338_P29274	dual_target
Cc1ccc(COC(=O)c2nn(-c3ccccc3)nc2N)cc1	P27338_P29274	dual_target
Cc1ccccc1COC(=O)c1nn(-c2ccccc2)nc1N	P27338_P29274	dual_target
Cn1c(=O)c2c(cc(C=Cc3ccc(C(F)(F)F)cc3)n2C)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(cc(C=Cc3ccc(Cl)cc3)n2C)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(cc(C=Cc3ccc(F)cc3)n2C)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(cc(C=Cc3cccc(Cl)c3)n2C)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(cc(C=Cc3ccccc3)n2C)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc(C=Cc3ccc(Cl)cc3)n2C)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc(C=Cc3cccc(Cl)c3)n2C)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCCN3Cc2ccc(Cl)cc2Cl)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCCN3Cc2ccccc2Br)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCCN3Cc2ccccc2Cl)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCN3CCc2ccc(Cl)c(Cl)c2)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCN3CCc2ccc(Cl)cc2)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCN3CCc2cccc(Cl)c2)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCN3Cc2c(F)cccc2Cl)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCN3Cc2cc(Cl)cc(Cl)c2)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCN3Cc2ccc(Cl)cc2F)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCN3Cc2ccc(F)c(Br)c2)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCN3Cc2cccc(Br)c2)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCN3Cc2cccc(Cl)c2)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2Br)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2F)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCN(C2CCCc4ccccc42)C3)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCN(Cc2ccc(Cl)c(Cl)c2)C3)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCN(c2cccc(Cl)c2)C3)n(C)c1=O	P27338_P29274	dual_target
Cn1c(=O)c2c(nc3n2CCN3Cc2ccccc2Br)n(C)c1=O	P27338_P29274	dual_target
Nc1nn(-c2ccccc2)nc1C(=O)OCc1ccccc1	P27338_P29274	dual_target
O=C(CC=Cc1ccccc1)Nc1nc2ccccc2c(=O)s1	P27338_P29274	dual_target
O=C(CCCc1ccccc1)Nc1nc2ccccc2c(=O)s1	P27338_P29274	dual_target
O=C(CCCc1ccccc1)Nc1nc2sccc2c(=O)s1	P27338_P29274	dual_target
