uniprot_id	protein_function
A0A024AXB9	no_function
A0A045ISB3	Hydrolase (ester bonds)
A0A059UE90	Kinase
A0A060INS8	Enzyme regulator
A0A060INS8	Peptidase
A0A060INS8	Transmembrane signaling receptors (other)
A0A072ZLE6	Transcription regulator
A0A072ZLE6	DNA binding
A0A080SPQ8	Transferase (alkyl or aryl groups, no methyl)
A0A0C5PRQ1	Peptidase
A0A0C7ACN7	Transferase (acyl groups)
A0A0E7NXW5	Ligase
A0A0E7NXW5	DNA binding
A0A0S4TER9	Oxidoreductase
A0A0S4TER9	Transferase (one-carbon groups)
A0A143MHK7	Transferase (phosphorus-containing groups, non-kinase)
A0A1D8D5K2	Peptidase
A0A1D8D5K2	Hydrolase (acid anhydrides)
A0A1D8D5K2	Transferase (phosphorus-containing groups, non-kinase)
A0A1D8D5K2	Transporter
A0A286XTF2	G protein-coupled receptor
A0A2J8P2M1	G protein-coupled receptor
A0A2S9PM60	Isomerase
A0A2S9PM60	DNA binding
A0A380PJR2	Lyase
A0A3N4B635	no_function
A0A6L8P2U9	Oxidoreductase
A0AVT1	Ligase
A0JN73	Isomerase
A0JN73	DNA binding
A0MJA5	Transporter
A0QNE0	Isomerase
A0QNE0	DNA binding
A0R666	DNA binding
A0SYQ0	Isomerase
A0SYQ0	Oxidoreductase
A0SYQ0	Transferase (alkyl or aryl groups, no methyl)
A0ZX81	Hydrolase (C-N bonds, no peptides)
A1E3K9	Hydrolase (C-N bonds, no peptides)
A1XG20	Oxidoreductase
A1XG20	Transferase (one-carbon groups)
A1YYP7	Ligase
A1Z1Q3	Hydrolase (glycosyl bonds)
A1ZA98	Hydrolase (ester bonds)
A2AGL3	Transporter
A2APX8	Transporter
A2RP81	Hydrolase (C-N bonds, no peptides)
A3EZJ3	Peptidase
A3FFR5	Hydrolase (C-N bonds, no peptides)
A3FPL9	Kinase
A3FQ79	Kinase
A3KMY8	Hydrolase (glycosyl bonds)
A3RGC1	Signaling receptor (not transmembrane)
A3RGC1	Transcription regulator
A3RGC1	DNA binding
A3RLP8	Kinase
A4HSF7	Oxidoreductase
A4IFJ5	Hydrolase (ester bonds)
A4IFJ5	Transferase (acyl groups)
A4KCT8	Hydrolase (C-N bonds, no peptides)
A4TVL0	no_function
A4ZYU9	Hydrolase (C-N bonds, no peptides)
A5A4K8	G protein-coupled receptor
A5D7B7	Peptidase
A5H660	no_function
A5PKW4	Enzyme regulator
A5U4N0	Kinase
A5Z1V5	Hydrolase (acid anhydrides)
A5Z252	Hydrolase (glycosyl bonds)
A6NNY8	Peptidase
A6XA80	Enzyme regulator
A6XA80	Lyase
A6XA80	Transferase (other)
A6YCJ1	Lyase
A7L861	Oxidoreductase
A8DS27	Hydrolase (C-N bonds, no peptides)
A8NS89	Hydrolase (ester bonds)
A8PUY1	no_function
A8Q2D1	Peptidase
A8RR46	Hydrolase (C-N bonds, no peptides)
A9JQL9	Transferase (alkyl or aryl groups, no methyl)
A9X4R8	Peptidase
A9XFY4	Transmembrane signaling receptors (other)
A9XFY4	Transporter
B0BNF9	Oxidoreductase
B0FL73	G protein-coupled receptor
B0K020	no_function
B2LUN4	Kinase
B2RXC2	Kinase
B2RXH2	Oxidoreductase
B2ZB02	Oxidoreductase
B2ZTR6	Hydrolase (C-N bonds, no peptides)
B3DH72	G protein-coupled receptor
B3VTJ2	Hydrolase (ester bonds)
B4EH87	no_function
B4FS76	Oxidoreductase
B4URE7	no_function
B4URF0	Hydrolase (glycosyl bonds)
B5ATN6	Hydrolase (C-N bonds, no peptides)
B5DF27	Oxidoreductase
B5SU02	Lyase
B5THE3	Hydrolase (glycosyl bonds)
B6TK44	Isomerase
B7UUK1	Hydrolase (ester bonds)
B7VU80	Hydrolase (glycosyl bonds)
B8Q4Z9	G protein-coupled receptor
B8R6A5	Hydrolase (C-N bonds, no peptides)
C0HJB3	Hydrolase (glycosyl bonds)
C0IX24	Lyase
C0L093	Transferase (other)
C3L5T6	Transferase (phosphorus-containing groups, non-kinase)
C3SIU2	Transcription regulator
C3SIU2	DNA binding
C3SWJ7	Transferase (one-carbon groups)
C3TDZ2	Transferase (acyl groups)
C3TIE2	Transferase (alkyl or aryl groups, no methyl)
C4LRQ6	Hydrolase (glycosyl bonds)
C4LW95	Oxidoreductase
C5ISA2	Hydrolase (acid anhydrides)
C7C422	Hydrolase (C-N bonds, no peptides)
D1MIX9	Hydrolase (C-N bonds, no peptides)
D2K848	Hydrolase (glycosyl bonds)
D2SSQ3	Hydrolase (C-N bonds, no peptides)
D3W065	DNA binding
D3Z7P3	Hydrolase (C-N bonds, no peptides)
D3ZDM7	Oxidoreductase
D3ZFJ0	Kinase
D3ZGQ2	Kinase
D3ZNG3	Peptidase
D3ZUM4	Hydrolase (glycosyl bonds)
D3ZYL0	Kinase
D4ADR1	G protein-coupled receptor
D5FGE8	Transporter
D5HSX5	Hydrolase (C-N bonds, no peptides)
D6NSM8	Hydrolase (C-N bonds, no peptides)
E1BI31	Peptidase
E1BKU0	G protein-coupled receptor
E1BN64	Hydrolase (ester bonds)
E2QDN0	Transferase (one-carbon groups)
E2QF15	Transferase (phosphorus-containing groups, non-kinase)
E2R517	G protein-coupled receptor
E2RDN4	Transferase (acyl groups)
E3UJZ5	Signaling receptor (not transmembrane)
