Explaining class 0 for compound: Cc1ncsc1-c1nnc(SCCCN2CCC3(CC3c3ccc(C(F)(F)F)cc3)C2)n1C
Shapley values for edges:
(tensor(0, device='cuda:0'),tensor(1, device='cuda:0')): -0.002087935183392384
(tensor(1, device='cuda:0'),tensor(0, device='cuda:0')): -0.010580150413699608
(tensor(1, device='cuda:0'),tensor(2, device='cuda:0')): 0.014373626541310792
(tensor(1, device='cuda:0'),tensor(5, device='cuda:0')): -0.02543459727458338
(tensor(2, device='cuda:0'),tensor(1, device='cuda:0')): -0.027095185808603244
(tensor(2, device='cuda:0'),tensor(3, device='cuda:0')): -0.021699615191970282
(tensor(3, device='cuda:0'),tensor(2, device='cuda:0')): -0.01584789577278841
(tensor(3, device='cuda:0'),tensor(4, device='cuda:0')): 0.010403732670093802
(tensor(4, device='cuda:0'),tensor(3, device='cuda:0')): -0.009705057545712943
(tensor(4, device='cuda:0'),tensor(5, device='cuda:0')): -0.03785984200106236
(tensor(5, device='cuda:0'),tensor(1, device='cuda:0')): 0.006577929090843538
(tensor(5, device='cuda:0'),tensor(4, device='cuda:0')): 0.0332330807512805
(tensor(5, device='cuda:0'),tensor(6, device='cuda:0')): -0.0026954474198682354
(tensor(6, device='cuda:0'),tensor(5, device='cuda:0')): 0.017790683805449944
(tensor(6, device='cuda:0'),tensor(7, device='cuda:0')): -0.059262332069949755
(tensor(6, device='cuda:0'),tensor(31, device='cuda:0')): -0.005605280077565445
(tensor(7, device='cuda:0'),tensor(6, device='cuda:0')): 0.004651277230739479
(tensor(7, device='cuda:0'),tensor(8, device='cuda:0')): -0.017326806008717853
(tensor(8, device='cuda:0'),tensor(7, device='cuda:0')): 0.015015512501740078
(tensor(8, device='cuda:0'),tensor(9, device='cuda:0')): 0.05046788517783859
(tensor(9, device='cuda:0'),tensor(8, device='cuda:0')): -0.0731123796401148
(tensor(9, device='cuda:0'),tensor(10, device='cuda:0')): 0.032210935942081985
