Explaining class 0 for compound: C#Cc1ccc2sc(C(=O)NCCCCN3CCN(c4ccccc4OC)CC3)cc2c1
Shapley values for edges:
(tensor(0, device='cuda:0'),tensor(1, device='cuda:0')): 0.0010321292746032513
(tensor(1, device='cuda:0'),tensor(0, device='cuda:0')): -0.00325286126778889
(tensor(1, device='cuda:0'),tensor(2, device='cuda:0')): 0.014811778937721556
(tensor(2, device='cuda:0'),tensor(1, device='cuda:0')): 0.010748195796554692
(tensor(2, device='cuda:0'),tensor(3, device='cuda:0')): 0.025461373893760696
(tensor(2, device='cuda:0'),tensor(31, device='cuda:0')): 0.0040858640331238524
(tensor(3, device='cuda:0'),tensor(2, device='cuda:0')): -0.010119343198208359
(tensor(3, device='cuda:0'),tensor(4, device='cuda:0')): 0.002944369497760503
(tensor(4, device='cuda:0'),tensor(3, device='cuda:0')): -0.004706069443667383
(tensor(4, device='cuda:0'),tensor(5, device='cuda:0')): 0.019782131782064977
(tensor(5, device='cuda:0'),tensor(4, device='cuda:0')): 0.015341579607622806
(tensor(5, device='cuda:0'),tensor(6, device='cuda:0')): -0.00854744051721205
(tensor(5, device='cuda:0'),tensor(30, device='cuda:0')): -0.01995209281283728
(tensor(6, device='cuda:0'),tensor(5, device='cuda:0')): 0.0009705829956694409
(tensor(6, device='cuda:0'),tensor(7, device='cuda:0')): -0.006938195071927409
(tensor(7, device='cuda:0'),tensor(6, device='cuda:0')): -0.0036557074200027216
(tensor(7, device='cuda:0'),tensor(8, device='cuda:0')): 0.00709717800303198
(tensor(7, device='cuda:0'),tensor(29, device='cuda:0')): -0.025177771664891435
(tensor(8, device='cuda:0'),tensor(7, device='cuda:0')): -0.006572656390359212
(tensor(8, device='cuda:0'),tensor(9, device='cuda:0')): 0.022019071017607264
(tensor(8, device='cuda:0'),tensor(10, device='cuda:0')): 0.05730971326433859
(tensor(9, device='cuda:0'),tensor(8, device='cuda:0')): -0.001125390404884573
(tensor(10, device='cuda:0'),tensor(8, device='cuda:0')): -0.00018706420549884556
(tensor(10, device='cuda:0'),tensor(11, device='cuda:0')): -0.004281051151191204
(tensor(11, device='cuda:0'),tensor(10, device='cuda:0')): 0.04068315788029512
(tensor(11, device='cuda:0'),tensor(12, device='cuda:0')): 0.0037666449895146347
(tensor(12, device='cuda:0'),tensor(11, device='cuda:0')): 0.04841028994925303
(tensor(12, device='cuda:0'),tensor(13, device='cuda:0')): -0.028711964061399156
(tensor(13, device='cuda:0'),tensor(12, device='cuda:0')): 0.0048266438047056106
(tensor(13, device='cuda:0'),tensor(14, device='cuda:0')): 0.020609540721582102
(tensor(14, device='cuda:0'),tensor(13, device='cuda:0')): 0.033635638744334645
(tensor(14, device='cuda:0'),tensor(15, device='cuda:0')): 0.04888896956105561
(tensor(15, device='cuda:0'),tensor(14, device='cuda:0')): 0.0960516185414938
